gene_name,gene_id,logFC,logCPM,PValue,FDR,raw_read_count_x23908x30,raw_read_count_x23908x31,raw_read_count_x23908x16,rpkm_x23908x30,rpkm_x23908x31,rpkm_x23908x16
Tmem44,224090,-2.080420807820096,4.447798559053645,5.516258547447678e-7,2.495686327460781e-6,364,314,23,5.575765048730991,3.8200183600963356,0.9024073540759174
Nrros,224109,1.616977521387152,4.764480390830297,5.522324293048306e-7,2.497839969240975e-6,241,169,181,3.657672664719019,2.037075940011095,7.036198408098386
NA,108167917,1.823018751261777,3.6658752720407946,5.525061693807694e-7,2.497995860564727e-6,83,100,93,1.6200428460831717,1.5501764288618671,4.64946588214549
Clip3,76686,-1.7707378192492134,6.888037577207999,5.525280134798476e-7,2.497995860564727e-6,1632,2130,158,47.28822726941081,49.01682796449301,11.7263181897643
Larp6,67557,-2.6623176608789483,3.6823055126064728,5.567356740536999e-7,2.5164242030875125e-6,180,219,9,7.5884009823893335,7.3325427211218965,0.9718337656885702
Arf4,11843,1.485908825215615,6.15126748161905,5.629069240809675e-7,2.5433229782698677e-6,484,624,445,27.882344129332328,28.549679139578913,65.66223191817004
Col9a2,12840,-8.64420851866278,2.1448780617806604,5.629526374835566e-7,2.5433229782698677e-6,58,73,0,2.0551381992121174,2.054322481227159,0
Dclre1c,227525,1.5967984030357334,4.532423844751325,5.631797805083083e-7,2.543748522300629e-6,196,158,154,1.3209691824253644,0.8457196513572575,2.6584533490816025
Crybg1,11630,2.3863382580834753,2.220098545860356,5.663441733641677e-7,2.5574375900346047e-6,30,27,43,0.36428365296714876,0.2603843709505342,1.3373916031171076
Heg1,77446,1.5020238382792124,6.349466570630034,5.695927510538243e-7,2.5715002609515856e-6,704,553,512,7.230242268323613,4.510638708386799,13.468581539876626
Fam216a,68948,-2.834260268933793,3.4977486963032582,5.698911640247689e-7,2.572240538166054e-6,162,188,7,11.57314722512417,10.666625151253779,1.2808734147874477
Tmem9b,56786,-1.8129958925153173,5.2952382839879135,5.733685720875684e-7,2.5873256815451526e-6,548,678,50,31.644207544049813,31.09396320213771,7.395292882325155
H2bc15,319187,2.6839587875582094,1.902193438655073,5.741621240618074e-7,2.590295666039746e-6,14,27,38,2.8497955897601592,4.364979005076632,19.812577542061913
Baiap2l1,66898,2.695679107246479,2.1957704641829454,5.761836506022941e-7,2.598802872931092e-6,36,13,46,1.0784500903543461,0.3092955156169745,3.5296130006713224
NA,102640660,3.6823025350608063,0.5291764661607284,5.802629090086846e-7,2.6153522351149975e-6,6,4,19,0.287586690761159,0.15226856153451052,2.332613809139309
NA,115486550,3.6823025350608063,0.5291764661607284,5.802629090086846e-7,2.6153522351149975e-6,6,4,19,0.18681631431844886,0.09891365757281803,1.515265930416895
Tgm1,21816,3.6823025350608063,0.5291764661607284,5.802629090086846e-7,2.6153522351149975e-6,6,4,19,0.1802411183220601,0.09543228771690533,1.461934557750169
Lck,16818,3.524099615997768,0.7820959252526198,5.807351343887577e-7,2.6168641842345976e-6,9,4,22,0.38509299620392656,0.13593015827399135,2.4111126398222824
NA,105246363,-8.633697633292378,2.1353640581754303,5.815137435236651e-7,2.6197556992790874e-6,60,70,0,1.3426885516217861,1.2440985852146933,0
Ankle1,234396,3.543486794346426,0.9027976068216604,5.842759952162408e-7,2.6315801827853895e-6,11,3,24,0.131084115221406,0.028393004891156436,0.7325551602234643
Penk,18619,-2.101275807156027,5.399435071997101,5.844634208697178e-7,2.63180480854326e-6,466,885,45,28.46319917621272,42.93127498820227,7.0401516987106705
Plp1,18823,-1.801069314571615,9.802155620401406,5.851463684546164e-7,2.6342601100334534e-6,15270,13371,1181,368.8613455347352,256.51969716014264,73.0711117499197
Sash3,74131,3.078185218983848,1.2294190909333618,5.874896327641808e-7,2.6441870486184595e-6,9,13,27,0.32675428110736154,0.3748476995238557,2.5108123110550964
Kctd10,330171,1.630513064507568,4.447151187585319,5.937979654492906e-7,2.671951193071796e-6,187,143,147,5.873186124372904,3.5669819825575417,11.82554596828618
NA,102635803,-3.1211298891834707,3.3050789930529523,5.976087758082228e-7,2.688466660601629e-6,177,128,5,1.3672696869031442,0.7852783230614325,0.09892877506127253
Cux2,13048,-1.7246303583947906,5.5660071327134055,5.982420971956439e-7,2.690683132497474e-6,735,739,64,7.744814850014208,6.184446825785863,1.7273302673379787
Pim1,18712,2.0054264398834234,3.078750399620771,6.026577490947531e-7,2.7099061606180757e-6,57,59,67,2.042765867892799,1.6793007011959784,6.15021429060846
Pcdhac1,353236,-8.658581973006896,2.1573941167671347,6.04924735355309e-7,2.719460752244626e-6,75,57,0,1.3779290555257568,0.8317123893107162,0
NA,105245766,-8.69163667788018,2.187031003953949,6.072152857405713e-7,2.7291167634659035e-6,80,55,0,1.5027052310042537,0.8205012015119739,0
Hsp90aa1,15519,-1.9344200896195325,8.702324464202166,6.121639380089071e-7,2.75071221839465e-6,5134,8405,507,175.27685630681952,227.89728396368847,44.335170055480475
Brinp3,215378,-2.023989009442228,4.457224744960506,6.140711071946327e-7,2.7586340676109197e-6,334,347,24,8.08816691844537,6.673686997917157,1.4886293885576372
Rnf182,328234,-2.5253574248118413,3.8317567122125404,6.155524637857309e-7,2.7646397393456314e-6,250,192,11,6.495338031209975,3.9618287412343665,0.7320253862424392
NA,105242978,-2.39836396952667,4.141003820202844,6.238111617127748e-7,2.801074620288787e-6,328,223,15,3.601676300199564,1.94477076856612,0.42188472542775823
Capn1,12333,1.7385329325628935,3.918373982616788,6.267883529006077e-7,2.8137826269468155e-6,117,106,107,3.111265141782038,2.238668288534844,7.2879711955114175
Epn3,71889,-3.4829910568575158,2.9559188823146254,6.276736916670612e-7,2.8170961160370357e-6,117,120,3,2.8653710429852697,2.3340436439596504,0.1881862850246849
NA,118568686,-4.662149530193426,2.6045268205640606,6.280724453538404e-7,2.818224694407839e-6,108,76,1,1.556802619320407,0.8700738397608995,0.03692168446434929
Pcnx4,67708,-1.8916165766733644,4.783120285070118,6.304344016572894e-7,2.8281597671533216e-6,415,439,33,5.04114456162585,4.235242633667595,1.0267547084187023
Herc6,67138,1.7402969188646338,3.91745400939338,6.335502761716382e-7,2.8414715035142886e-6,103,120,107,1.8984498696486305,1.7566121230255145,5.051465543545421
NA,118567660,-3.0359884110342286,3.229205174008022,6.337093523250943e-7,2.841518874627614e-6,144,144,5,5.952091577690595,4.727182020791006,0.5293572007951524
NA,102638356,-8.71320144381052,2.2063813077708114,6.354915118862159e-7,2.84884233760988e-6,83,54,0,2.556477868858693,1.3209623073293009,0
NA,102637315,-4.693728382673387,2.632890271073385,6.378173807749778e-7,2.858599190997341e-6,114,74,1,2.0072780786568765,1.0348255208882633,0.045099777440166085
Klhl4,237010,-2.737385882174071,3.5906166340687826,6.564912152248612e-7,2.941603377259314e-6,161,213,8,4.033297208267661,4.237860666961059,0.51332928966912
Ndufa13,67184,-2.1166817697824514,6.113711422124442,6.599025815162848e-7,2.9561966968276927e-6,732,1514,74,56.17012605197841,92.26838375224672,14.544464818566619
Ppp1r3c,53412,-2.1255585898614133,4.294962409241887,6.623183816028397e-7,2.9663243434473623e-6,303,306,20,11.017171002757925,8.836527004298135,1.8626410323943028
Lgi2,246316,-1.7367450403089153,5.661897773339261,6.679022456442971e-7,2.99063273248592e-6,717,864,68,10.8785618865267,10.411152169289283,2.642609257623004
Mir6353,102465181,3.931649399455006,0.23159960677120467,6.713013012591425e-7,3.0044462683020288e-6,3,4,16,2.583190186925454,2.735444070044746,35.28798161194445
Gm8062,102632224,3.931649399455006,0.23159960677120467,6.713013012591425e-7,3.0044462683020288e-6,3,4,16,0.5112092664143193,0.5413400699037765,6.983435940717555
Gstm5,14866,-1.9944660746509222,4.872617335070308,6.764976961005658e-7,3.026994953108542e-6,367,552,33,42.40992883689054,50.66094397657694,9.767583390063901
Crim1,50766,-1.7300663347850884,5.717057041388546,6.767033641580807e-7,3.0272072636045263e-6,749,894,71,12.006231073630405,11.381385125373162,2.915109930731367
Mapk1ip1l,218975,1.4436364726435926,6.277817711512379,6.783416809585829e-7,3.0338268774615627e-6,626,600,479,7.046494965399227,5.363926074416757,13.810392907722967
Samd4b,233033,1.4503104655349124,5.835986073428354,6.790196667053721e-7,3.0361494001107467e-6,478,426,355,10.592001423866353,7.497085324744591,20.148846822522657
Gm19500,100503007,-4.805901373400443,2.733832479602214,6.812858197814841e-7,3.0455704649250313e-6,133,70,1,4.8251013322523795,2.016905536358496,0.09292370251094621
NA,102633492,-2.473339471469214,3.9036526063845036,6.82677421805663e-7,3.051078512358736e-6,261,204,12,4.117941094156663,2.556245204421578,0.484945101607312
Pin1,23988,-2.3965616015461655,4.139566181535855,6.842802060746044e-7,3.057527599912519e-6,211,342,15,17.457767467931863,22.47320823362017,3.1788440068157873
Zdhhc15,108672,1.8225591074078256,3.6161851312262856,6.853868730001605e-7,3.0611625572805547e-6,88,89,90,1.5273661088587653,1.2268266594916168,4.001056602228362
Parpbp,75317,3.4589860109877235,0.7349256998029854,6.854137038305491e-7,3.0611625572805547e-6,7,6,21,0.16356895916250674,0.11134912821147565,1.256880108746761
Gpx7,67305,2.6401795883154433,1.8368312582592798,6.865748980515202e-7,3.0656330278692493e-6,16,24,36,1.2823744804945691,1.5277027013923707,7.390419542699241
Klf2,16598,2.4051047793839975,2.175330628849932,6.89883831828022e-7,3.0796890700806213e-6,25,30,42,1.3394846325375196,1.2765907760809045,5.763930366543516
Hdac1,433759,1.6679379899352387,4.149572672412487,6.970097978832664e-7,3.110774075787389e-6,143,124,122,6.793907915125066,4.678838172542357,14.846194900581857
Gm22519,115486001,4.298713059158479,0.06798342613636268,6.976516030582142e-7,3.11291234172407e-6,2,3,15,1.0932602663766904,1.3024094659342262,21.00180085401891
Ajap1,230959,1.5277527474515513,5.154492028174686,6.989414517988656e-7,3.1179404983137554e-6,230,324,229,6.896467689593483,7.715722518680913,17.587578970960838
Cdc42se1,57912,1.4388822660302767,5.7777963851110545,7.009214012811816e-7,3.1260440957372606e-6,448,425,340,13.622022919053562,10.263257926867105,26.47977057677551
Stk39,53416,-1.7928121576051637,6.503316767432654,7.024561997185068e-7,3.1321590466590985e-6,1179,1700,119,23.780450458369092,27.232525179083527,6.147873765752191
Aqp2,11827,4.297528269932184,0.06839171456207233,7.026401434287199e-7,3.1322492693899576e-6,3,2,15,0.2061444146345878,0.10914730929203968,2.6400568870165015
Arfgap3,66251,1.6559094304449045,4.1302727522476905,7.031134402418738e-7,3.1336290361397094e-6,133,132,120,4.705789735673048,3.709262158980676,10.87511433313561
NA,115489026,2.3856124034669217,2.2204708488060896,7.032903000085653e-7,3.1336873102151558e-6,32,25,43,0.6174113104582221,0.38308692731887806,2.12502853773099
Lancl3,236285,-3.073300396755622,3.2625766681667625,7.048347785906281e-7,3.1398379089114056e-6,127,169,5,3.1523267323611557,3.331554553931411,0.31788440068157875
Pard3b,72823,1.7794268695552855,3.8266145002362046,7.050252176543976e-7,3.1399551884035355e-6,89,118,102,0.3153114830312323,0.3320202012632597,0.9255964081599363
Ankrd29,225187,-2.367488240976437,3.918926794440232,7.069373954231669e-7,3.1477386983084605e-6,217,252,13,4.830504581224667,4.455187905433207,0.7412211877709106
Plpp7,227721,-3.470530824106745,2.94477912664525,7.072466763385499e-7,3.1483831220068578e-6,114,121,3,5.350804950630922,4.5105796876171995,0.36066768470963495
